m.z	mode	p.value	t.score
194.08213	negative	0.00031865	4.5638
536.88299	negative	0.00031919	-4.563
752.48021	positive	0.00032079	-4.5606
398.33969	positive	0.00032276	4.5576
176.06914	positive	0.00032454	-4.555
1204.35349	positive	0.00032488	-4.5544
214.03308	negative	0.0003249	-4.5544
576.60958	positive	0.00032532	-4.5538
287.10418	positive	0.00032786	-4.55
154.08707	positive	0.00032978	-4.5472
136.06362	positive	0.00033018	-4.5466
154.04332	positive	0.0003304	-4.5463
177.12314	positive	0.00033151	-4.5446
158.92176	positive	0.0003336	-4.5416
231.90353	positive	0.00033528	-4.5392
119.03481	negative	0.00033528	-4.5392
