"m.z"	"r.t"	"p.value"	"t.score"
117.0739	140.2	0.446470759	-0.763947022
117.0768	126.1	0.064134242	-1.867910087
117.1022	262.1	0.185763095	-1.328696271
117.1103	81.7	0.004904306	-2.88637028
117.1386	182.7	0.0475374	-2.002161532
117.9348	279.5	0.959653272	-0.05066117
117.9595	180.4	0.952114022	-0.06013727
118.04	278.2	0.194439861	-1.302953149
118.0498	35.3	0.037819768	2.102234511
118.0543	25.8	0.315616811	-1.006936356
118.0618	125.5	0.090481749	1.702524619
118.0651	146.3	0.387627115	0.866540119
118.0685	255.7	0.349986745	0.937342435
118.0759	129.4	0.733476139	0.34123806
118.0862	124.7	0.064269447	1.863552112
118.0946	226.9	0.235388318	1.191212776
118.0989	276	0.315109511	-1.008020027
118.11	128.2	0.452998731	0.752230282
118.1226	168	0.330024646	-0.976987525
118.1464	278.3	0.203507256	-1.277665349
118.1465	70.6	0.402555799	-0.839439124
118.43	130.2	0.229481557	1.206332604
118.9428	262.5	0.266454895	-1.115325142
118.9598	251	0.257884884	1.135357226
118.9629	267.6	0.725801074	0.351325894
118.9673	248.5	0.339602449	-0.957688269
119.0137	173.8	0.094893582	-1.679089406
119.0253	152.7	0.055580573	1.928182096
119.0292	61	0.00012331	-4.063021309
119.0492	103	0.255123615	1.143032914
119.0621	31.2	0.036666777	-2.123591693
119.07	274.9	0.462424636	0.736465755
119.0781	126.1	0.155322911	-1.435460583
119.0833	129.4	0.537511496	0.618021006
119.0855	263.1	0.253207875	-1.146864775
119.0896	124.4	0.021322458	2.325863691
119.126	141	0.763339817	0.301771183
119.5139	177.8	0.389969278	-0.861779406
119.5229	197.8	0.179937427	1.347149365
119.9928	90.4	0.621480522	0.494686879
120.0031	109.6	1.60E-05	4.43684359
120.0255	160.2	0.799279095	0.254734588
120.0444	31.2	0.038027368	-2.112419177
120.0557	265	0.765140243	0.299294648
120.0606	165.1	0.613589568	0.505957561
120.0656	120.3	0.148317154	1.454057697
120.0744	64.3	0.00035357	-3.753437538
120.0808	99.6	0.696333755	0.391063669
120.0905	127.6	0.601353878	0.523600724
121.0147	166.7	0.153545331	1.434575096
121.0232	142.2	0.329524143	-0.977927535
121.0284	272.7	0.250050937	-1.15399191
121.0353	30.1	0.409320002	-0.827454813
121.0396	48.3	0.01104481	-2.60499022
121.0648	276.9	0.053193593	1.950107776
121.0689	120.1	0.014130904	2.487159059
121.0778	100.2	0.00643577	-2.780557635
121.0841	101.3	0.755668943	0.311738202
121.0859	269.1	0.233941864	1.194443349
121.1011	271	0.450112102	-0.757026734
121.1297	161.8	0.847720313	-0.19247886
121.2704	144.8	0.269987045	1.106635523
121.5147	130.5	0.636938646	0.472912196
121.5208	162.9	0.929917797	-0.088120259
121.9567	258.9	0.7849882	0.273317072
121.9661	221.9	0.684677225	0.406766465
121.9744	70.9	0.159150401	1.415238425
122.0192	269.8	0.593678946	-0.534644336
122.0225	167.5	0.003205002	2.988109709
122.0249	187.2	0.948626837	0.064530996
122.06	270.2	0.006366487	2.763118935
122.0697	118.2	0.321197547	0.994961393
122.0875	105.2	0.954129373	-0.057613458
122.0964	70.3	0.673552305	-0.422156144
122.5202	143.3	0.465554186	0.731370995
122.5241	167.2	0.007153024	2.7216837
122.5471	166.7	0.163162597	1.404071293
122.634	126.2	0.289232359	1.06300753
122.9245	91.7	0.520794191	0.643432151
122.964	146.2	0.070512618	-1.820330563
123.0204	166	0.000141466	3.898276758
123.0303	167.3	0.049281265	1.983009729
123.0403	163.2	0.049470872	-1.990843397
123.044	270.1	0.72644396	-0.350482875
123.0474	59.1	0.00414249	2.904865805
123.0487	161.7	0.3468476	0.944376264
123.0552	42.6	0.00680243	-2.776007071
123.0804	261.8	0.141312327	1.477890547
123.0916	54.5	0.679234193	0.414328468
123.1168	261.4	0.138727132	1.489047493
123.6688	162.8	0.58017452	0.554254776
123.9643	57.7	0.079762801	-1.769457239
123.9714	72.7	0.063918941	1.869515166
124.0225	42.3	0.003442385	-3.025089335
124.0408	196.2	0.173840635	-1.368939839
124.0436	150.9	0.002212505	-3.148717317
124.0586	43.5	0.022143746	-2.321200109
124.0757	51.9	0.011655536	-2.572671007
124.0968	280.7	0.058925603	1.904479506
124.1121	281.2	0.119624182	1.563889719
124.2082	147.8	8.88E-05	4.015272536
124.3519	86.3	0.592120392	0.536916266
124.5326	184.9	0.097707753	1.665298172
124.8974	67.4	0.094282743	1.686496014
124.9226	104.3	0.002223555	3.117609242
124.9375	107.2	0.04759805	1.995353606
124.9563	176.7	0.002940776	-3.017013299
124.9644	155.1	0.481382876	0.70581133
124.9998	139.6	0.423741575	0.802428344
125.0209	116.3	0.587241341	-0.543919794
125.0343	210	0.592706255	-0.536035517
125.0379	151.1	0.026521109	-2.257104936
125.0597	269.8	0.045452351	2.015261321
125.0961	264.5	0.165066436	-1.394468913
125.0961	30.7	0.197072348	1.294787857
125.1074	43.2	0.921978255	-0.098117795
125.2492	93.3	0.425256647	-0.799618661
