name,092816_RPLC_POS_0uM 1_08,092816_RPLC_POS_0uM 2_22,092816_RPLC_POS_0uM 3_24,092816_RPLC_POS_10uM 1_10,092816_RPLC_POS_10uM 2_20,092816_RPLC_POS_10uM 3_26,092816_RPLC_POS_200uM 1_14,092816_RPLC_POS_200uM 2_16,092816_RPLC_POS_200uM 3_30,092816_RPLC_POS_50uM 1_12,092816_RPLC_POS_50uM 2_18,092816_RPLC_POS_50uM 3_28
M829T616_3,210187.9066,508387.7412,489441.1504,401025.5147,598766.86,349558.1209,426009.0278,331104.9605,463886.0564,528971.6609,303489.8751,797585.3827
M397T1395,9099.352234,8419.745388,8227.075593,10362.58124,6870.135239,7111.652604,12383.13163,11377.09881,8299.429169,10991.30334,8178.447279,20405.63904
M457T579,68817.46492,84895.85111,168890.2189,93165.03071,91005.20785,100248.2737,92443.58945,105957.1003,94766.99779,68204.74242,86933.55184,78208.15825
M272T1219,2251803.641,2294024.623,1955775.379,1913625.92,2009681.882,3024718.558,2845212.516,2510560.1,1726461.545,3403673.253,2194783.784,1991929.28
M595T55,9193.719132,9223.205658,11375.02421,9355.184444,6437.765141,11937.63642,7425.598019,8338.127203,10414.7609,12033.38439,12341.70064,7993.045265
M1193T1353,194856.9187,93369.42736,69938.29839,146133.7336,98105.13993,164541.7847,189274.2312,109381.9376,135674.5055,122773.2612,208806.4479,124078.9968
M173T1555,145919.5839,104844.1029,261721.168,146692.5483,394200.5965,93528.17428,140403.6588,303278.3825,132156.3159,156657.133,137859.6225,88999.09998
M643T813,2476.18807,7260.004274,1672.928556,2515.771763,4231.150014,2460.132961,3458.07577,2558.004586,3258.42382,4621.63411,3412.57997,6380.328768
M272T687,751.9459552,3495.11528,4239.368481,3459.050467,3134.90101,3197.166938,2399.959994,8687.103332,2406.534336,4665.822193,3441.248874,2410.040964
M357T685,3777.668816,2284.471756,1225.700335,671.7261825,4094.786689,997.2366808,645.7276398,317.2129717,1059.136223,1646.497459,1804.231067,0
M1077T1278,7957.343481,10584.54301,6603.038242,5124.472557,14711.04188,8891.650871,14692.6114,11558.74281,13728.31532,16601.5152,16439.97334,11764.7954
M451T51_1,6651.311222,5177.527314,3002.133302,6755.232995,6185.124505,3549.118797,5674.6525,6910.172998,8247.851505,6550.643069,5100.022705,10715.11927
M646T774_2,53673.41776,47645.04512,38607.28881,146360.5637,25010.19615,19472.85404,24564.10071,30882.81707,15743.56798,35835.35632,35612.23656,16276.69717
M752T743_1,90129.84183,117344.1344,87783.50394,77875.70081,184922.3703,77134.68357,34551.04126,66095.60869,139047.1312,56956.67161,82811.34358,54147.4219
M483T1107,2742.701395,5887.379173,5822.965213,3324.853723,5960.199453,6867.19958,5771.795342,9696.865605,6904.937234,6704.960655,4012.94455,3622.528069
M382T1907,36109.05253,10318.55716,20412.67066,29415.27593,23612.41463,23175.31774,25180.94584,26313.8351,21210.31704,28862.75387,24030.44469,22671.27383
M199T975,195305.8385,72607.45679,67979.48257,80811.4713,35533.29852,156875.1025,71635.11873,265466.8027,256163.4829,143870.7967,41713.04781,50177.77314
M314T1508,23487.60491,17384.29024,12895.76541,19281.26857,15956.47692,14552.92862,18907.99989,14640.43882,15442.37644,18564.84482,13744.96503,4367.800942
M188T1107,29851.97558,27287.94006,37686.72727,22144.3062,36337.53049,45006.84389,37078.76681,60215.91813,31328.21579,29927.20116,36202.60083,22473.16064
M431T1619,190822.2584,81970.08969,144414.0754,170988.7929,111961.7499,88346.46677,218369.1625,112230.5796,116133.8998,162913.4435,86294.74555,324463.6101
M552T1410,88492.64423,127724.9131,57058.80374,87884.76719,127095.0319,86503.66125,71244.70332,62544.89176,59665.39032,107358.3686,150336.3969,93910.06459
M265T1840,18353.80021,3046.859845,4978.370186,11767.58173,4496.157819,3748.12404,17343.02195,7909.846191,5898.217285,13270.50744,6043.777102,17568.2864
M453T67,23720.24394,17301.92007,8823.766927,37197.3204,8449.969404,15522.95883,5097.948452,4264.947908,10751.41873,6842.937558,8082.193924,6817.266836
M318T1801,14126.16158,7417.400665,8434.591951,15046.37466,8634.213334,9597.813549,17366.31585,4461.295715,5869.058967,14152.90278,8472.724179,6585.071573
M629T1166,1519.212919,2801.183373,1623.574056,2627.657347,2262.742349,1632.987793,1309.464228,1554.32074,1339.313799,2694.529315,1556.377289,1436.772846
M449T732,243840.7537,173926.2631,133193.8167,404930.2069,164852.8608,98604.23319,118725.938,148940.2836,89020.46751,141592.2995,157819.1734,50329.59738
M101T276,69093.36135,48617.8214,56934.44594,167353.9055,59831.58561,5785.720327,67394.08517,57155.4383,46412.87422,85797.2248,38910.5455,48917.2037
M250T806,18569.12824,12273.1092,29757.84275,15195.98922,17597.5232,38000.7698,17136.13092,14847.18917,16038.65993,19597.27406,14646.25469,10840.8997
M445T678,65712.69,25759.49992,18403.52123,59010.02844,56940.83007,16881.00594,18848.23416,21550.96387,19286.61627,22319.6588,28597.3291,10503.19166
M610T2322,9956.293051,1229.57993,951.8202477,5552.3409,2187.572014,529.0175972,6155.087165,4143.801679,202.8934946,6479.912824,947.0813201,4641.385505
M564T883,1218.939957,1870.580048,2487.285936,3612.035667,1892.188227,1054.037625,1502.931825,2969.785646,2579.719036,2222.277637,1755.9599,1555.100063
M200T1205,19030.7699,26862.6046,22401.79985,27631.68905,17466.04734,18680.61106,29624.27977,31376.88,20056.24341,32238.54919,19282.09756,22516.74071
M687T781,15207.05868,15808.24317,10595.37796,29303.24302,10699.55288,9561.959076,8389.096204,12332.51822,6599.862898,12799.25196,14045.25197,8918.89366
M567T1192,1532.275293,3435.889952,1389.709516,1660.385992,3306.520772,2326.914143,8910.560827,7497.43842,6450.695709,3364.63228,3777.273594,1515.092484
M566T750,51467.56567,54639.48003,26086.02109,8269.47675,65800.43301,36095.34532,25991.99018,46735.53358,84608.24565,41448.28409,10337.11635,23569.73811
M541T67,5340.135873,13446.49754,0,15001.85891,7159.615861,2690.26748,1335.567463,539.4056154,3817.148417,4448.931808,6733.369186,2808.953721
M482T884,8833.389196,6207.579374,11325.23698,7457.107886,13396.57256,8235.854632,12757.50809,9287.555163,21111.17887,9062.380455,8905.342673,10254.80105
M208T45,27172.1367,181675.7252,151727.5217,121090.0382,191766.9486,110356.3154,116811.1457,151410.9675,186816.4838,126869.8661,69422.98034,201448.1957
M366T1937,778102.5079,495667.2092,341395.6015,644343.6865,464285.1815,325378.5307,385277.2075,347086.1658,145907.2745,639635.5346,525092.4242,437056.9027
M255T813,89741.32645,73383.56886,63119.66665,65417.97697,80648.50649,69766.11646,104526.5505,81529.25836,99677.80783,90968.22456,75095.32572,66743.75452
M562T701,0,3926.095429,1922.457788,0,3074.802105,1118.512316,2592.032014,2758.064059,2342.551364,2468.552366,4393.435352,3454.793217
M362T1631_2,71220.15618,42757.72102,46138.89074,72672.20863,52382.31547,48432.92824,67781.75092,67759.86102,43223.36802,75900.28683,57262.62451,46792.5393
M297T1441,6228.790777,9973.863727,6340.183329,10768.20543,4146.2839,4800.754014,12435.35499,11390.90216,6405.820012,8400.007479,11097.02936,8345.62473
M593T1239,10658.83887,9886.883926,10408.75856,9488.918222,8543.623229,11745.9129,7846.59948,7476.534421,10263.15673,7791.74962,7995.254111,11342.91651
M470T1753,36518.31982,10293.03574,20573.91968,19527.21314,27912.80249,9212.708148,19061.82382,20090.05202,13464.45519,31503.85151,22651.04099,16541.88751
M329T1783,4199.563331,46839.17773,8555.323316,1702.657623,41887.54737,37139.50361,78821.20319,68962.28351,73274.65016,61877.62827,7674.701904,70934.36149
M431T1666,90456.87997,50353.70568,47788.20428,79976.69421,50450.83917,36748.6504,71477.8959,72848.71799,80840.09045,67797.77524,42420.89494,81076.12231
M566T2009,6689.098371,0,821.6008885,3268.065576,721.8470874,845.3528304,2920.594116,1930.752554,941.184604,1387.538681,0,3511.726898
M246T563,1053963.693,3653187.936,1513572.696,2660123.501,1041166.664,1436059.24,3624130.619,971832.1062,763541.2487,1486443.356,900506.3244,1298525.471
M151T1819,39265.24555,15328.46828,19026.19413,30750.56753,14176.77016,18400.78474,35001.39101,18131.43681,10989.96503,29119.6031,18878.77027,20984.74557
M242T60_2,0,4898.148163,5561.805109,8554.961778,5407.73305,0,9185.756699,5970.617423,7327.819973,7919.851229,1600.669968,11021.59569
M497T1250,913.6697741,2243.268251,1799.354592,1716.975067,1750.090179,1970.743498,2569.074882,2262.236389,1556.874952,1202.755466,2297.374469,2625.806866
M589T1645,21454.87663,10420.73877,25705.06312,17936.24573,9523.213293,23224.95429,12853.6495,16706.85181,10614.48679,10242.98148,8691.160345,24792.37827
M282T1426,193170.0046,186872.1311,145423.953,191948.4362,249665.9371,128579.8875,352965.3223,339278.993,544778.2839,209177.165,176830.3777,171352.2937
M384T488,21969.64465,18785.02774,27390.48736,19504.58001,24854.91234,27749.41047,54382.85636,76477.57978,46968.73355,23344.98258,25537.76186,30635.63145
M837T616_5,119226.6111,147013.9985,146696.8809,167522.6297,166429.5099,105383.0237,155542.0315,109819.2371,152729.7332,206199.7682,111889.4611,251240.236
M548T1801,17447.16103,10870.86457,2444.917603,9954.658452,9017.164558,6424.812474,5602.411158,8446.673084,2308.19471,11891.35407,7789.89583,4025.37885
M862T966,10780.79245,4193.478808,16617.70275,9900.599616,6705.663298,10493.59814,4514.955944,5033.43102,5423.971921,2888.577866,7752.790138,9163.673955
M707T1888,120616.7433,230222.2711,248938.9835,141827.6542,83095.51963,290336.8153,159408.89,188077.5976,228691.365,162993.2679,76984.79674,294102.948
M586T874,21970.24453,20892.53577,46398.69219,36248.57417,28803.90968,34534.56596,24811.33357,29839.81738,29233.2357,27580.62486,28311.86673,27065.5245
