m.z	p.value	t.score
899.8878	0.001191626	-3.931653824
131.1174	0.00120581	-3.926034058
156.1742	0.001246724	-3.910189571
657.1193	0.00127204	-3.900646121
769.1718	0.001285949	-3.895483715
835.4194	0.00130511	-3.88846383
475.0967	0.001308847	-3.887106997
290.909	0.001318926	-3.883466626
262.1463	0.001357996	3.869614832
357.0734	0.00136526	-3.867083786
628.0084	0.001373416	-3.86425792
391.1392	0.001390292	3.858464535
192.9321	0.001411114	-3.851413175
289.021	0.001419173	-3.848711986
157.1079	0.001434152	-3.843732297
734.1328	0.001445936	3.839851533
791.0336	0.001456975	3.836245077
175.9888	0.001468976	-3.832355262
667.8269	0.001481727	3.828257097
149.1065	0.001500759	-3.822205775
453.1645	0.001520666	3.815958465
227.0605	0.001528189	3.813619145
232.8662	0.001545012	-3.808429026
229.979	0.001551488	3.806446406
616.1549	0.001589615	3.79493943
352.0267	0.001593169	3.793880975
220.1634	0.001596194	3.79298181
213.09	0.001628255	-3.783557456
447.2916	0.001644217	3.778934648
207.5426	0.00165246	-3.77656486
391.8834	0.001684528	-3.767457875
227.0095	0.001692476	3.765227711
310.1281	0.001718909	3.757885553
739.2719	0.001739205	-3.752324584
837.876	0.001760266	-3.746622686
264.268	0.001774965	-3.742683587
598.8334	0.001840409	3.725534276
543.801	0.001847394	-3.723740038
358.0909	0.001873917	-3.716989019
399.1265	0.001887438	3.713584386
455.1613	0.001910129	3.707925109
267.177	0.001936399	3.701457115
740.1829	0.001938229	3.701009741
651.4314	0.001972064	3.692815007
461.2721	0.001989155	3.688729213
360.0784	0.002019027	-3.681671796
827.8378	0.002073635	3.669036491
731.2702	0.002117523	3.659121166
426.9945	0.002133881	-3.655478073
1170.746	0.002156034	-3.65058883
332.8498	0.002208569	-3.639192192
737.7841	0.002217535	-3.637274372
284.0496	0.002229054	3.634821727
104.1066	0.002242872	-3.631896324
120.9654	0.002254548	-3.629438391
487.0321	0.00230708	-3.618535574
272.1327	0.002362542	3.607290717
99.41192	0.002373667	-3.60506705
306.0473	0.002452491	-3.589603759
227.0095	0.00246374	3.587437622
417.2152	0.002474967	3.585285444
393.8702	0.002520828	-3.576594794
750.0569	0.002550328	3.571087509
251.0695	0.002606191	-3.560831045
85.02783	0.002657217	-3.551652733
528.2948	0.002668522	3.549643014
721.5196	0.002685973	3.546557521
418.8751	0.002761381	-3.533450535
841.9345	0.002798768	3.527084162
128.0176	0.002825664	3.522556427
439.1989	0.002845503	3.519244148
343.8538	0.002858009	-3.517168017
204.8875	0.00287045	-3.515111626
764.8366	0.00288458	3.512786952
352.8517	0.00293639	-3.504358748
540.771	0.002938312	-3.504049063
313.1425	0.002948217	3.502455659
167.1169	0.002961814	3.50027716
850.9106	0.002976908	-3.497870301
450.8298	0.002991539	-3.495549013
258.1322	0.003000766	-3.494090811
192.0553	0.003047188	-3.486821943
206.0392	0.00308302	-3.481286353
229.9737	0.0031145	3.476475729
505.1051	0.003145168	3.471835455
323.0619	0.003235323	3.458451337
206.0705	0.00323947	3.457844697
213.0747	0.003248553	-3.456518483
500.2999	0.003280502	3.451883216
154.0484	0.003283554	-3.451442762
477.3015	0.003366901	-3.439569696
102.1273	0.003398705	-3.435115948
116.5096	0.003472803	3.424898567
504.3348	0.003485826	-3.423125145
131.5418	0.00351391	-3.419323305
846.4417	0.003549947	3.41448887
