"m.z" "r.t" "p.value" "t.score" "log2.fc" "effect.size" "st.dev" "lower.ci" "upper.ci" "mode"
"107.0484" "77.3" "0.294498900747953" "-1.60895828650093" "0.044012" "-0.482283140258577" "0.831415934555362" "-1.0929621233401" "0.128395842822941" "negative"
"108.0106" "40.57" "0.488551162151749" "-1.1537065393211" "0.28464" "-0.345822024964171" "0.487681012526877" "-0.952790416465865" "0.261146366537523" "negative"
"108.0406" "39.93" "0.477132630723755" "-1.17723894143764" "-0.063911" "-0.352875831694783" "0.0542830626457183" "-0.960006527156452" "0.254254863766885" "negative"
"108.918" "35.13" "0.50249649592845" "-1.12137840388017" "-0.5942" "-0.336131708683156" "0.407309975669916" "-0.942882406935218" "0.270618989568906" "negative"
"108.9945" "45.42" "0.347069072258117" "-1.47474235443742" "-0.23317" "-0.44205209031067" "0.241143102776151" "-1.05151249995809" "0.167408319336752" "negative"
"109.9402" "37.76" "0.0815984804661714" "-2.43777425512261" "-0.22558" "-0.73071964193608" "0.4756322379634" "-1.35118537241468" "-0.110253911457484" "negative"
"109.994" "46.25" "0.00246603862281247" "-3.98825367930181" "-0.23781" "-1.19547381976232" "0.0606466553268047" "-1.84414194953681" "-0.546805689987834" "negative"
"110.9834" "33.45" "0.762022183804238" "0.586265305509832" "0.44551" "0.175732257907591" "0.349492550510266" "-0.428307257460203" "0.779771773275384" "negative"
"111.0022" "45.12" "0.956600400242442" "-0.13222731902451" "-0.32545" "-0.0396349657925558" "0.272830263998019" "-0.642703628817527" "0.563433697232416" "negative"
"111.0069" "224.98" "0.365803764878654" "-1.42752605805169" "-0.22414" "-0.427899067274991" "0.136460185978234" "-1.03695547555258" "0.181157341002597" "negative"
"111.0546" "55.54" "0.148495017178889" "-2.08979654762974" "-0.094297" "-0.626413779616544" "0.0469306360165167" "-1.24230168881728" "-0.0105258704158123" "negative"
"112.0499" "43.92" "0.00071530776168536" "4.44773836607243" "1.5177" "1.33320375315816" "0.267668157288547" "0.673889531950566" "1.99251797436576" "negative"
"112.0579" "55.44" "0.534648138874699" "1.04475036864059" "5.8296" "0.31316255542589" "0.732157112430203" "-0.29309656473696" "0.919421675588741" "negative"
"112.9838" "36.4" "0.918383732008003" "0.236039280087946" "0.20177" "0.0707524652318717" "0.966385891500253" "-0.532430054035386" "0.67393498449913" "negative"
"112.98381" "86.5" "0.366377320706358" "-1.42620771127859" "-0.68036" "-0.427503894555467" "0.541906777499329" "-1.03654920739559" "0.181541418284657" "negative"
"113.0338" "1.86" "0.84452076862645" "-0.408879930481856" "-0.08068" "-0.122561223939714" "0.101848419121206" "-0.7260755901992" "0.480953142319772" "negative"
