"gene","edge","net"
"K18242","edg403","ko01100"
"K18243","edg403","ko01100"
"K14578","edg403","ko01100"
"K14581","edg403","ko01100"
"K18242","edg404","ko01100"
"K18243","edg404","ko01100"
"K14578","edg404","ko01100"
"K14581","edg404","ko01100"
"K18242","edg405","ko01100"
"K18243","edg405","ko01100"
"K14578","edg405","ko01100"
"K14581","edg405","ko01100"
"K18242","edg406","ko01100"
"K18243","edg406","ko01100"
"K14578","edg406","ko01100"
"K14581","edg406","ko01100"
"K18242","edg407","ko01100"
"K18243","edg407","ko01100"
"K14578","edg407","ko01100"
"K14581","edg407","ko01100"
"K18242","edg408","ko01100"
"K18243","edg408","ko01100"
"K14578","edg408","ko01100"
"K14581","edg408","ko01100"
"K18242","edg409","ko01100"
"K18243","edg409","ko01100"
"K14578","edg409","ko01100"
"K14581","edg409","ko01100"
"K18242","edg410","ko01100"
"K18243","edg410","ko01100"
"K14578","edg410","ko01100"
"K14581","edg410","ko01100"
"K18242","edg411","ko01100"
"K18243","edg411","ko01100"
"K14578","edg411","ko01100"
"K14581","edg411","ko01100"
"K18242","edg412","ko01100"
"K18243","edg412","ko01100"
"K14578","edg412","ko01100"
"K14581","edg412","ko01100"
"K18242","edg413","ko01100"
"K18243","edg413","ko01100"
"K14578","edg413","ko01100"
"K14581","edg413","ko01100"
"K18242","edg414","ko01100"
"K18243","edg414","ko01100"
"K14578","edg414","ko01100"
"K14581","edg414","ko01100"
"K18242","edg415","ko01100"
"K18243","edg415","ko01100"
"K14578","edg415","ko01100"
"K14581","edg415","ko01100"
"K18242","edg416","ko01100"
"K18243","edg416","ko01100"
"K14578","edg416","ko01100"
"K14581","edg416","ko01100"
"K18242","edg417","ko01100"
"K18243","edg417","ko01100"
"K14578","edg417","ko01100"
"K14581","edg417","ko01100"
"K18242","edg418","ko01100"
"K18243","edg418","ko01100"
"K14578","edg418","ko01100"
"K14581","edg418","ko01100"
"K18242","edg419","ko01100"
"K18243","edg419","ko01100"
"K14578","edg419","ko01100"
"K14581","edg419","ko01100"
"K18242","edg420","ko01100"
"K18243","edg420","ko01100"
"K14578","edg420","ko01100"
"K14581","edg420","ko01100"
"K18242","edg421","ko01100"
"K18243","edg421","ko01100"
"K14578","edg421","ko01100"
"K14581","edg421","ko01100"
"K18242","edg422","ko01100"
"K18243","edg422","ko01100"
"K14578","edg422","ko01100"
"K14581","edg422","ko01100"
"K18242","edg423","ko01100"
"K18243","edg423","ko01100"
"K14578","edg423","ko01100"
"K14581","edg423","ko01100"
"K18242","edg424","ko01100"
"K18243","edg424","ko01100"
"K14578","edg424","ko01100"
"K14581","edg424","ko01100"
"K18242","edg425","ko01100"
"K18243","edg425","ko01100"
"K14578","edg425","ko01100"
"K14581","edg425","ko01100"
"K18242","edg426","ko01100"
"K18243","edg426","ko01100"
"K14578","edg426","ko01100"
"K14581","edg426","ko01100"
"K18242","edg427","ko01100"
"K18243","edg427","ko01100"
"K14578","edg427","ko01100"
"K14581","edg427","ko01100"
"K18242","edg428","ko01100"
"K18243","edg428","ko01100"
"K14578","edg428","ko01100"
"K14581","edg428","ko01100"
"K18242","edg429","ko01100"
"K18243","edg429","ko01100"
"K14578","edg429","ko01100"
"K14581","edg429","ko01100"
"K18242","edg430","ko01100"
"K18243","edg430","ko01100"
"K14578","edg430","ko01100"
"K14581","edg430","ko01100"
"K18242","edg431","ko01100"
"K18243","edg431","ko01100"
"K14578","edg431","ko01100"
"K14581","edg431","ko01100"
"K18242","edg432","ko01100"
"K18243","edg432","ko01100"
"K14578","edg432","ko01100"
"K14581","edg432","ko01100"
"K18242","edg433","ko01100"
"K18243","edg433","ko01100"
"K14578","edg433","ko01100"
"K14581","edg433","ko01100"
"K18242","edg434","ko01100"
"K18243","edg434","ko01100"
"K14578","edg434","ko01100"
"K14581","edg434","ko01100"
"K18242","edg435","ko01100"
"K18243","edg435","ko01100"
"K14578","edg435","ko01100"
"K14581","edg435","ko01100"
"K18242","edg436","ko01100"
"K18243","edg436","ko01100"
"K14578","edg436","ko01100"
"K14581","edg436","ko01100"
"K18242","edg437","ko01100"
"K18243","edg437","ko01100"
"K14578","edg437","ko01100"
"K14581","edg437","ko01100"
"K18242","edg438","ko01100"
"K18243","edg438","ko01100"
"K14578","edg438","ko01100"
"K14581","edg438","ko01100"
"K18242","edg439","ko01100"
"K18243","edg439","ko01100"
"K14578","edg439","ko01100"
"K14581","edg439","ko01100"
"K18242","edg440","ko01100"
"K18243","edg440","ko01100"
"K14578","edg440","ko01100"
"K14581","edg440","ko01100"
"K18366","edg441","ko01100"
"K13922","edg441","ko01100"
"K18366","edg442","ko01100"
"K13922","edg442","ko01100"
"K18366","edg443","ko01100"
