#NAME	GSM1432676	GSM1432677	GSM1432646	GSM1432647	GSM1432648
#CLASS	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED
245195	-1.3684597	-1.3680935	2.151517	2.4025354	1.296207
94282	0.3475089	0.6228771	-0.5805054	-0.5568657	-0.42867947
20363	0.488650075	0.71919322	-1.6073821	-1.040030235	-1.142495875
17960	0.14709568	-0.012172222	-0.24260426	-0.46146822	-0.20713758
171207	-0.30115366	-0.16579342	1.4682598	1.044507	1.2635512
18700	-0.066766143	0.002700925	0.144361377	0.04910004	0.266687499
213575	-0.08152628	-0.21719074	0.070611954	0.10127306	-0.020751
56332	0.06430721	0.25629663	-0.2087369	-0.36102724	-0.13518095
56807	-0.179076445	-0.31084205	0.443810225	0.262149573	0.349436759
100637	0.3053348	-0.00809741	-1.1287396	-0.9376395	-1.0259502
72007	0.0840354	-0.8334751	0.5778842	0.62213945	0.77818394
69352	0.25886035	0.024231672	-0.32043576	-0.30160785	-0.19209456
74481	0.095998764	0.001804352	0.43001175	0.032021523	0.33226252
217847	-0.6474519	-0.26203823	0.838511	0.9313636	0.8140793
11363	0.360397497	0.273687362	-0.565056477	-0.604464223	-0.421277013
11829	0.039961338	0.31281042	-0.21653175	-0.24952555	-0.044038296
72000	-0.12860036	-0.12269902	0.006145239	-0.30651307	-0.1475823
13730	-0.8821652	-0.91111636	1.0265915	1.2280934	-0.02831769
103554	-0.006965995	0.108824375	-0.15786159	-0.12599504	-0.09729278
22031	-0.261609803	-0.237369936	0.366755413	0.238637367	0.314859315
53610	0.19958663	0.20884347	0.15531039	-0.040159464	-0.05229926
245386	0.12525105	0.02530551	-0.045696497	-0.12796187	0.032269716
11833	-0.554000615	0.532368425	-1.931833	-1.0103724	-1.5795667
71963	0.063842138	0.055449803	0.284006757	0.320404853	0.325732082
26894	0.227801327	0.46720107	-0.334089913	-0.252899807	-0.17532921
433470	-0.17644382	-0.19098973	2.1911576	1.9940951	0.96914744
84004	-0.233505967	-0.175839028	0.411001443	0.71526487	0.297454117
30937	0.135870615	-0.028773785	-0.128569603	-0.039355278	0.008541265
66875	-0.006521065	0.295000713	-0.1840175	-0.256616117	-0.179924331
21393	0.0952189	0.08729243	-0.06491113	-0.24170136	-0.07666993
70503	-0.008855025	0.411120573	-0.291052497	-0.372229413	-0.34577211
72175	0.0449543	-0.06720495	-0.2956934	-0.29661322	-0.073223114
50793	-0.058596134	0.14428139	-0.2479353	-0.27055025	-0.19202948
11870	0.12552977	0.004599094	-0.18094063	-0.18350649	-0.1350851
64340	-0.17320442	-0.23111868	0.500782	0.27509594	0.2473998
